YYYY-MM-DD       JulianDate          Filter  Target
2018-04-08       2458217.11146       R       PKS1510-08  
2018-04-08       2458217.07289       R       S4_0954+65  
2018-04-08       2458217.07514       R       S4_0954+65  
2018-04-08       2458217.04229       R       S5_0716+71  
2018-04-08       2458217.04455       R       S5_0716+71  
2018-04-09       2458218.06362       R       3C273       
2018-04-09       2458218.06587       R       3C273       
2018-04-09       2458218.07861       R       3C279       
2018-04-09       2458218.08088       R       3C279       
2018-04-09       2458218.10285       R       3C345       
2018-04-09       2458218.11227       R       3C345       
2018-04-09       2458218.12021       R       3C371       
2018-04-09       2458218.06880       R       4C29-45     
2018-04-09       2458218.07105       R       4C29-45     
2018-04-09       2458218.09369       R       4C38-41     
2018-04-09       2458218.09594       R       4C38-41     
2018-04-09       2458218.11509       R       4C51-37     
2018-04-09       2458218.11734       R       4C51-37     
2018-04-09       2458218.04712       R       4C71-07     
2018-04-09       2458218.04937       R       4C71-07     
2018-04-09       2458218.08910       R       DA406       
2018-04-09       2458218.09135       R       DA406       
2018-04-09       2458218.05785       R       Mkn421      
2018-04-09       2458218.06010       R       Mkn421      
2018-04-09       2458218.09828       R       Mkn501      
2018-04-09       2458218.10052       R       Mkn501      
2018-04-09       2458218.03178       R       OJ248       
2018-04-09       2458218.03403       R       OJ248       
2018-04-09       2458218.03637       R       OJ287       
2018-04-09       2458218.03861       R       OJ287       
2018-04-09       2458218.04144       R       OJ49        
2018-04-09       2458218.04369       R       OJ49        
2018-04-09       2458218.07339       R       ON231       
2018-04-09       2458218.07565       R       ON231       
2018-04-09       2458218.02675       R       PKS0735+17  
2018-04-09       2458218.02899       R       PKS0735+17  
2018-04-09       2458218.08383       R       PKS1510-08  
2018-04-09       2458218.08608       R       PKS1510-08  
2018-04-09       2458218.05179       R       S4_0954+65  
2018-04-09       2458218.05404       R       S4_0954+65  
2018-04-09       2458218.02106       R       S5_0716+71  
2018-04-09       2458218.02332       R       S5_0716+71  
2018-04-10       2458219.11668       R       3C273       
2018-04-10       2458219.11895       R       3C273       
2018-04-10       2458219.13450       R       3C279       
2018-04-10       2458219.13675       R       3C279       
2018-04-10       2458219.15869       R       3C345       
2018-04-10       2458219.16093       R       3C345       
2018-04-10       2458219.16887       R       3C371       
2018-04-10       2458219.12277       R       4C29-45     
2018-04-10       2458219.12502       R       4C29-45     
2018-04-10       2458219.14956       R       4C38-41     
2018-04-10       2458219.15182       R       4C38-41     
2018-04-10       2458219.16376       R       4C51-37     
2018-04-10       2458219.16601       R       4C51-37     
2018-04-10       2458219.10080       R       4C71-07     
2018-04-10       2458219.10306       R       4C71-07     
2018-04-10       2458219.14497       R       DA406       
2018-04-10       2458219.14722       R       DA406       
2018-04-10       2458219.11065       R       Mkn421      
2018-04-10       2458219.11291       R       Mkn421      
2018-04-10       2458219.15413       R       Mkn501      
2018-04-10       2458219.15638       R       Mkn501      
2018-04-10       2458219.03707       R       OJ248       
2018-04-10       2458219.03933       R       OJ248       
2018-04-10       2458219.09022       R       OJ287       
2018-04-10       2458219.09248       R       OJ287       
2018-04-10       2458219.09530       R       OJ49        
2018-04-10       2458219.09756       R       OJ49        
2018-04-10       2458219.12840       R       ON231       
2018-04-10       2458219.13066       R       ON231       
2018-04-10       2458219.03200       R       PKS0735+17  
2018-04-10       2458219.03427       R       PKS0735+17  
2018-04-10       2458219.13970       R       PKS1510-08  
2018-04-10       2458219.14196       R       PKS1510-08  
2018-04-10       2458219.10547       R       S4_0954+65  
2018-04-10       2458219.10773       R       S4_0954+65  
2018-04-10       2458219.02634       R       S5_0716+71  
2018-04-10       2458219.02860       R       S5_0716+71  
2018-04-12       2458221.15804       R       3C273       
2018-04-12       2458221.16030       R       3C273       
2018-04-12       2458221.17308       R       3C279       
2018-04-12       2458221.17534       R       3C279       
2018-04-12       2458221.19850       R       3C345       
2018-04-12       2458221.20308       R       3C345       
2018-04-12       2458221.21102       R       3C371       
2018-04-12       2458221.16325       R       4C29-45     
2018-04-12       2458221.16551       R       4C29-45     
2018-04-12       2458221.18934       R       4C38-41     
2018-04-12       2458221.19159       R       4C38-41     
2018-04-12       2458221.20590       R       4C51-37     
2018-04-12       2458221.20816       R       4C51-37     
2018-04-12       2458221.14267       R       4C71-07     
2018-04-12       2458221.14492       R       4C71-07     
2018-04-12       2458221.18475       R       DA406       
2018-04-12       2458221.18700       R       DA406       
2018-04-12       2458221.15256       R       Mkn421      
2018-04-12       2458221.15481       R       Mkn421      
2018-04-12       2458221.19394       R       Mkn501      
2018-04-12       2458221.19618       R       Mkn501      
2018-04-12       2458221.12762       R       OJ248       
2018-04-12       2458221.12987       R       OJ248       
2018-04-12       2458221.13221       R       OJ287       
2018-04-12       2458221.13446       R       OJ287       
2018-04-12       2458221.13731       R       OJ49        
2018-04-12       2458221.13957       R       OJ49        
2018-04-12       2458221.16786       R       ON231       
2018-04-12       2458221.17010       R       ON231       
2018-04-12       2458221.12256       R       PKS0735+17  
2018-04-12       2458221.12481       R       PKS0735+17  
2018-04-12       2458221.17940       R       PKS1510-08  
2018-04-12       2458221.18164       R       PKS1510-08  
2018-04-12       2458221.14733       R       S4_0954+65  
2018-04-12       2458221.14958       R       S4_0954+65  
2018-04-12       2458221.11712       R       S5_0716+71  
2018-04-12       2458221.11937       R       S5_0716+71  
2018-04-13       2458222.09463       R       3C273       
2018-04-13       2458222.09689       R       3C273       
2018-04-13       2458222.16575       R       3C279       
2018-04-13       2458222.16801       R       3C279       
2018-04-13       2458222.19112       R       3C345       
2018-04-13       2458222.19337       R       3C345       
2018-04-13       2458222.20155       R       3C371       
2018-04-13       2458222.10731       R       4C29-45     
2018-04-13       2458222.10957       R       4C29-45     
2018-04-13       2458222.18197       R       4C38-41     
2018-04-13       2458222.19641       R       4C51-37     
2018-04-13       2458222.19867       R       4C51-37     
2018-04-13       2458222.07852       R       4C71-07     
2018-04-13       2458222.08078       R       4C71-07     
2018-04-13       2458222.17738       R       DA406       
2018-04-13       2458222.08861       R       Mkn421      
2018-04-13       2458222.09086       R       Mkn421      
2018-04-13       2458222.18880       R       Mkn501      
2018-04-13       2458222.06328       R       OJ248       
2018-04-13       2458222.06553       R       OJ248       
2018-04-13       2458222.06787       R       OJ287       
2018-04-13       2458222.07010       R       OJ287       
2018-04-13       2458222.07296       R       OJ49        
2018-04-13       2458222.07522       R       OJ49        
2018-04-13       2458222.11294       R       ON231       
2018-04-13       2458222.12255       R       ON231       
2018-04-13       2458222.05821       R       PKS0735+17  
2018-04-13       2458222.06046       R       PKS0735+17  
2018-04-13       2458222.17205       R       PKS1510-08  
2018-04-13       2458222.17432       R       PKS1510-08  
2018-04-13       2458222.08321       R       S4_0954+65  
2018-04-13       2458222.08545       R       S4_0954+65  
2018-04-13       2458222.05267       R       S5_0716+71  
2018-04-13       2458222.05493       R       S5_0716+71  
2018-04-17       2458226.21322       R       3C273       
2018-04-17       2458226.21547       R       3C273       
2018-04-17       2458226.21873       R       4C29-45     
2018-04-17       2458226.22098       R       4C29-45     
2018-04-17       2458226.18150       R       4C71-07     
2018-04-17       2458226.18420       R       4C71-07     
2018-04-17       2458226.20792       R       Mkn421      
2018-04-17       2458226.21016       R       Mkn421      
2018-04-17       2458226.13404       R       OJ248       
2018-04-17       2458226.13630       R       OJ248       
