ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-08-11|16:30:05|BL-Lacertae-20210811_163000-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1146.8179|1123.8548|R_Astrodon_2018|2459438.1875578705|180.0|20.6305|2.5038|71.1228|1.0573
2|2021-08-11|16:43:07|BL-Lacertae-20210811_164302-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|905.6455|1187.0360|R_Astrodon_2018|2459438.1966087963|180.0|20.4914|2.2516|71.1578|1.0575
3|2021-08-11|16:46:26|BL-Lacertae-20210811_164625-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|904.3861|1186.1987|R_Astrodon_2018|2459438.198912037|180.0|20.6299|2.0248|71.1043|1.0579
4|2021-08-11|16:49:47|BL-Lacertae-20210811_164947-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|904.1475|1185.1240|R_Astrodon_2018|2459438.201238426|180.0|20.7074|1.9001|71.0249|1.0585
5|2021-08-11|16:53:04|BL-Lacertae-20210811_165304-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|904.0176|1183.9486|R_Astrodon_2018|2459438.2035185187|180.0|20.7022|1.9616|70.9225|1.0593
6|2021-08-11|16:56:23|BL-Lacertae-20210811_165622-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|903.6933|1183.1153|R_Astrodon_2018|2459438.205821759|180.0|20.7539|2.0983|70.7949|1.0602
7|2021-08-11|16:59:43|BL-Lacertae-20210811_165942-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|903.6447|1182.2169|R_Astrodon_2018|2459438.208136574|180.0|20.7031|2.1118|70.6427|1.0613
8|2021-08-11|17:03:00|BL-Lacertae-20210811_170259-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|903.3843|1181.2223|R_Astrodon_2018|2459438.2104166667|180.0|20.6996|2.0190|70.4698|1.0625
9|2021-08-11|17:06:17|BL-Lacertae-20210811_170617-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|903.2797|1180.1195|R_Astrodon_2018|2459438.212696759|180.0|20.5476|1.9902|70.2747|1.0639
10|2021-08-11|17:09:44|BL-Lacertae-20210811_170944-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|903.3550|1179.0764|R_Astrodon_2018|2459438.2150925924|180.0|20.5216|1.9338|70.0465|1.0655
11|2021-08-11|17:13:07|BL-Lacertae-20210811_171307-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|902.9923|1178.0141|R_Astrodon_2018|2459438.2174421297|180.0|20.4874|1.9139|69.8004|1.0673
12|2021-08-11|17:16:25|BL-Lacertae-20210811_171624-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|902.6080|1177.3326|R_Astrodon_2018|2459438.219733796|180.0|20.4040|2.2123|69.54|1.0692
13|2021-08-11|17:19:43|BL-Lacertae-20210811_171942-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|902.1933|1176.3471|R_Astrodon_2018|2459438.222025463|180.0|20.3831|2.0926|69.2601|1.0712
14|2021-08-11|17:23:08|BL-Lacertae-20210811_172307-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|901.8694|1175.3438|R_Astrodon_2018|2459438.2243981482|180.0|20.3780|2.0224|68.9506|1.0735
15|2021-08-11|17:26:27|BL-Lacertae-20210811_172626-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|901.4133|1174.2476|R_Astrodon_2018|2459438.226701389|180.0|20.4324|2.0012|68.6319|1.0759
16|2021-08-11|17:29:47|BL-Lacertae-20210811_172946-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|901.2031|1173.3153|R_Astrodon_2018|2459438.229016204|180.0|20.4409|1.9636|68.2943|1.0785
17|2021-08-11|17:33:05|BL-Lacertae-20210811_173304-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|900.9103|1172.3060|R_Astrodon_2018|2459438.2313078702|180.0|20.4977|1.9608|67.9438|1.0813
18|2021-08-11|17:36:23|BL-Lacertae-20210811_173622-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|900.4704|1171.4990|R_Astrodon_2018|2459438.233599537|180.0|20.6693|2.1370|67.5779|1.0842
19|2021-08-11|17:39:52|BL-Lacertae-20210811_173952-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|899.9631|1170.8037|R_Astrodon_2018|2459438.2360185185|180.0|20.7107|2.0386|67.1758|1.0875
20|2021-08-11|17:43:14|BL-Lacertae-20210811_174314-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|899.6453|1170.2216|R_Astrodon_2018|2459438.2383564813|180.0|20.7049|2.0202|66.7724|1.0908
21|2021-08-11|17:46:32|BL-Lacertae-20210811_174632-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|898.8595|1169.2791|R_Astrodon_2018|2459438.240648148|180.0|20.6573|2.1586|66.3637|1.0943
22|2021-08-11|17:49:50|BL-Lacertae-20210811_174949-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|897.9150|1168.1033|R_Astrodon_2018|2459438.242939815|180.0|20.6918|1.8756|65.9426|1.0979
23|2021-08-11|17:53:09|BL-Lacertae-20210811_175308-R_Astrodon_2018_calib.fits|BL-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|897.3279|1167.1754|R_Astrodon_2018|2459438.2452430557|180.0|20.6751|2.1254|65.5075|1.1018
