ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-03-01|17:46:27|3C345-20210301_174627-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1020.7513|1018.4743|R_Astrodon_2018|2459275.2405902776|180.0|20.6655|2.9151|34.7015|1.7326
2|2021-03-01|17:49:44|3C345-20210301_174943-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1022.0688|1018.7778|R_Astrodon_2018|2459275.2428703704|180.0|20.6248|2.9897|35.333|1.7061
3|2021-03-01|18:01:54|3C371-20210301_180148-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1002.3065|1074.9223|R_Astrodon_2018|2459275.2513194443|180.0|20.7781|4.1608|25.1811|2.3131
4|2021-03-01|18:05:12|3C371-20210301_180511-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1002.9926|1075.6888|R_Astrodon_2018|2459275.253611111|180.0|20.7386|3.8563|25.4664|2.2895
5|2021-03-01|15:51:28|4C29-45-20210301_155123-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1030.3843|1023.1425|R_Astrodon_2018|2459275.1607407406|180.0|21.4523|2.4966|69.9492|1.0613
6|2021-03-01|15:54:46|4C29-45-20210301_155446-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1030.3280|1024.1135|R_Astrodon_2018|2459275.1630324074|180.0|21.4317|2.4426|70.6549|1.0568
7|2021-03-01|19:20:24|4C29-45-20210301_192019-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1052.4226|1009.5658|R_Astrodon_2018|2459275.305833333|180.0|21.4312|2.2443|61.7959|1.1390
8|2021-03-01|19:23:42|4C29-45-20210301_192342-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1052.0034|1008.8632|R_Astrodon_2018|2459275.308125|180.0|21.4406|2.2443|61.0761|1.1469
9|2021-03-01|17:32:23|4C38-41-20210301_173217-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1112.2863|1158.6195|R_Astrodon_2018|2459275.2308217594|180.0|20.9753|2.8421|33.344|1.7914
10|2021-03-01|17:35:41|4C38-41-20210301_173540-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1112.7283|1157.5624|R_Astrodon_2018|2459275.233113426|180.0|21.0314|2.5690|33.9923|1.7620
