ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-05-01|14:14:48|OJ248-20210501_141442-R_Astrodon_2018_calib.fits|OJ248|08 30 52.10|+24 11 00.0|127.7171|24.1833|1014.0937|1002.0243|R_Astrodon_2018|2459336.093611111|180.0|20.9704|3.5059|29.7112|2.0389
2|2021-05-01|14:18:05|OJ248-20210501_141805-R_Astrodon_2018_calib.fits|OJ248|08 30 52.10|+24 11 00.0|127.7171|24.1833|1014.6894|1002.6598|R_Astrodon_2018|2459336.0958912037|180.0|20.9690|3.7856|28.9839|2.0860
3|2021-05-01|14:21:52|OJ287-20210501_142151-R_Astrodon_2018_calib.fits|OJ287|08 54 48.90|+20 06 31.0|133.7037|20.1086|1019.1680|1022.3183|R_Astrodon_2018|2459336.0985185187|180.0|21.2129|2.8975|32.4352|1.8835
4|2021-05-01|14:25:09|OJ287-20210501_142509-R_Astrodon_2018_calib.fits|OJ287|08 54 48.90|+20 06 31.0|133.7037|20.1086|1019.6318|1023.2726|R_Astrodon_2018|2459336.100798611|180.0|21.5720|3.4110|31.6912|1.9234
5|2021-05-01|14:29:36|OJ49-20210501_142931-R_Astrodon_2018_calib.fits|OJ49|08 31 48.90|+04 29 39.0|127.9537|4.4942|1025.8258|1028.6069|R_Astrodon_2018|2459336.103888889|180.0|18.8221|4.1815|20.0625|2.9639
6|2021-05-01|14:32:55|OJ49-20210501_143255-R_Astrodon_2018_calib.fits|OJ49|08 31 48.90|+04 29 39.0|127.9537|4.4942|1027.3131|1030.6997|R_Astrodon_2018|2459336.1061921297|180.0|18.3559|4.1585|19.3015|3.0766
7|2021-05-01|13:28:57|PKS0735+17-20210501_132852-R_Astrodon_2018_calib.fits|PKS0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1027.2348|1012.9573|R_Astrodon_2018|2459336.0617708336|180.0|20.0928|3.7409|26.3906|2.2773
8|2021-05-01|14:10:23|PKS0735+17-20210501_141018-R_Astrodon_2018_calib.fits|PKS0735+17|07 38 07.40|+17 42 19.0|114.5308|17.7053|1031.2491|1038.9186|R_Astrodon_2018|2459336.0905439816|180.0|21.1821|3.8501|17.0275|3.4686
9|2021-05-06|15:08:42|3C273-20210506_150837-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|931.0976|1062.1100|R_Astrodon_2018|2459341.1310416665|180.0|21.3573|2.1276|57.3391|1.1931
10|2021-05-06|15:12:00|3C273-20210506_151159-R_Astrodon_2018_calib.fits|3C273|12 29 06.70|+02 03 09.0|187.2779|2.0525|931.5155|1061.2721|R_Astrodon_2018|2459341.1333333333|180.0|21.3700|2.2134|56.7307|1.2015
11|2021-05-06|13:21:43|3C279-20210506_132138-R_Astrodon_2018_calib.fits|3C279|12 56 11.10|-05 47 22.0|194.0462|-5.7894|1141.3719|1175.3224|R_Astrodon_2018|2459341.056747685|180.0|21.4325|2.6502|59.6866|1.1575
12|2021-05-06|13:25:01|3C279-20210506_132501-R_Astrodon_2018_calib.fits|3C279|12 56 11.10|-05 47 22.0|194.0462|-5.7894|1141.0582|1177.0755|R_Astrodon_2018|2459341.059039352|180.0|21.4448|2.4079|59.8878|1.1553
13|2021-05-06|15:48:20|3C345-20210506_154819-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1025.9533|1025.4152|R_Astrodon_2018|2459341.158564815|180.0|21.0936|2.3403|61.2529|1.1357
14|2021-05-06|15:51:37|3C345-20210506_155137-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1026.4668|1026.4076|R_Astrodon_2018|2459341.1608449076|180.0|21.0879|2.2668|61.8177|1.1298
15|2021-05-06|13:12:26|4C29-45-20210506_131221-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1018.3463|1042.8210|R_Astrodon_2018|2459341.050300926|180.0|21.5109|2.0069|83.3332|1.0071
16|2021-05-06|13:15:45|4C29-45-20210506_131544-R_Astrodon_2018_calib.fits|4C29-45|11 59 31.80|+29 14 44.0|179.8825|29.2456|1018.4532|1042.2446|R_Astrodon_2018|2459341.052604167|180.0|21.5592|2.1609|82.9322|1.0080
